@relation APPLIED_DATA

@attribute HAVG numeric
@attribute AAVG numeric
@attribute HSLG numeric
@attribute ASLG numeric
@attribute HOBP numeric
@attribute AOBP numeric
@attribute HRBIP numeric
@attribute ARBIP numeric
@attribute HOAVG numeric
@attribute AOAVG numeric
@attribute HOOBP numeric
@attribute AOOBP numeric
@attribute HWHIP numeric
@attribute AWHIP numeric
@attribute HERA numeric
@attribute AERA numeric
@attribute HQSP numeric
@attribute AQSP numeric
@attribute HPhyta numeric
@attribute APhyta numeric
@attribute HRank numeric
@attribute HWP numeric
@attribute AWP numeric
@attribute HOPS numeric
@attribute AOPS numeric
@attribute HGPA numeric
@attribute AGPA numeric
@attribute 'HERA * ARBIP' numeric
@attribute 'AERA * HRBIP' numeric
@attribute 'HWHIP * AGPA / 9' numeric
@attribute 'AWHIP * HGPA / 9' numeric
@attribute '(HPhyta + HWP)/2' numeric
@attribute '(APhyta + AWP)/2' numeric
@attribute HHitter numeric
@attribute AHitter numeric
@attribute HPitcher numeric
@attribute APitcher numeric
@attribute HResult {lose,win}

@data
0.2634,0.3015,0.4067,0.5046,0.3468,0.3823,3.2414,5.2442,0.2937,0.2572,0.3358,0.3163,1.25,1.3353,3.5156,3.9798,0.7273,0.5263,0.442323,0.571699,0.4585,0.4585,0.5652,0.7535,0.8869,0.257735,0.27371,18.43651,12.900124,0.038015,0.038239,0.450412,0.56845,4.2583,6.4326,6.1224,6.4149,lose
0.3078,0.2625,0.4894,0.416,0.3851,0.3366,5,3.1829,0.2557,0.2695,0.2894,0.3397,1.1587,1.425,3.6377,4.4719,0.5882,0.4737,0.601356,0.453293,0.5711,0.5711,0.4626,0.8745,0.7526,0.295645,0.27382,11.578435,22.3595,0.035253,0.04681,0.586228,0.457946,6.1823,4.198,5.9297,6.9798,lose
0.2874,0.2877,0.4769,0.4533,0.367,0.3651,4.4706,5.2927,0.2592,0.2602,0.3237,0.3106,1.2965,1.2447,3.918,4.0213,0.7368,0.6,0.478082,0.600233,0.4516,0.4516,0.5476,0.8439,0.8184,0.284375,0.28352,20.736799,17.977624,0.040843,0.039329,0.464841,0.573916,5.6019,6.3988,6.5342,6.4368,win
0.2619,0.3015,0.4114,0.4971,0.3466,0.3831,3,5.5172,0.2599,0.298,0.3786,0.3795,1.6448,1.766,4.9345,6.1277,0.65,0.8182,0.439493,0.574,0.4577,0.4577,0.5674,0.758,0.8802,0.25882,0.275245,27.224623,18.3831,0.050303,0.050786,0.448596,0.5707,4.0199,6.6989,7.8678,9.3894,win
0.2771,0.31,0.4116,0.4597,0.3595,0.3886,3.8193,4.1098,0.2271,0.2614,0.3516,0.3279,1.3607,1.3039,3.8361,3.1765,0.7895,0.7647,0.50237,0.533929,0.5021,0.5021,0.507,0.7711,0.8483,0.264675,0.27777,15.765604,12.132006,0.041996,0.038346,0.502235,0.520464,4.8675,5.2681,6.565,5.8344,lose
0.302,0.2668,0.4751,0.4258,0.3788,0.3429,5.0952,3.3133,0.244,0.3448,0.3106,0.4865,1.2725,2.2857,3.1096,9.6429,0.7778,0.8,0.600032,0.454629,0.5699,0.5699,0.464,0.8539,0.7687,0.289235,0.27308,10.303038,49.132504,0.03861,0.073456,0.584966,0.459315,6.2511,4.3488,5.7145,13.5599,win
0.283,0.2666,0.4231,0.3887,0.368,0.3523,2.977,3.1059,0.306,0.2716,0.3902,0.3757,1.7647,1.6032,7.4647,4.5911,0.5625,0.75,0.336603,0.476551,0.4005,0.4005,0.4739,0.7911,0.741,0.271375,0.26431,23.184612,13.667705,0.051825,0.048341,0.368551,0.475225,4.0511,4.1135,10.4881,7.5916,win
0.2874,0.2899,0.4728,0.4479,0.3685,0.3679,4.2326,4.1084,0.2554,0.2304,0.3109,0.2922,1.3011,1.1003,4.3548,3.0946,0.7647,0.8333,0.479145,0.598859,0.4529,0.4529,0.5464,0.8413,0.8158,0.284025,0.283755,17.89126,13.098204,0.041022,0.034724,0.466023,0.572629,5.3613,5.2141,6.9869,5.5508,lose
0.2795,0.3148,0.4209,0.4749,0.3586,0.3921,3.5119,3.7952,0.2684,0.2505,0.3184,0.294,1.3673,1.2017,4.3163,3.2818,0.6875,0.6667,0.494187,0.540425,0.5011,0.5011,0.5137,0.7795,0.867,0.266595,0.28167,16.381222,11.525353,0.042792,0.035596,0.497643,0.527062,4.5709,4.977,6.9579,5.6947,win
0.3074,0.2781,0.4853,0.455,0.3835,0.3458,5.1294,3.1786,0.24,0.2125,0.3149,0.3077,1.2973,1.2143,4.9257,1.7679,0.6471,0.8889,0.601336,0.451473,0.5708,0.5708,0.4615,0.8688,0.8008,0.2939,0.276935,15.65683,9.068266,0.039919,0.039654,0.586068,0.456487,6.3056,4.2575,7.425,4.3913,lose
