HAVG,AAVG,HSLG,ASLG,HOBP,AOBP,HRBIP,ARBIP,HOAVG,AOAVG,HOOBP,AOOBP,HWHIP,AWHIP,HERA,AERA,HQSP,AQSP,HPhyta,APhyta,HRank,HWP,AWP,HOPS,AOPS,HGPA,AGPA,HERA * ARBIP,AERA * HRBIP,HWHIP * AGPA / 9,AWHIP * HGPA / 9,(HPhyta + HWP)/2,(APhyta + AWP)/2,HHitter,AHitter,HPitcher,APitcher,HResult
0.2634,0.3015,0.4067,0.5046,0.3468,0.3823,3.2414,5.2442,0.2937,0.2572,0.3358,0.3163,1.25,1.3353,3.5156,3.9798,0.7273,0.5263,0.4423234455167855,0.5716990940056202,0.4585,0.4585,0.5652,0.7535000000000001,0.8869,0.257735,0.27371,18.43650952,12.90012372,0.03801527777777777,0.03823928283333333,0.45041172275839275,0.5684495470028101,4.2583,6.432600000000001,6.1224,6.4149,lose
0.3078,0.2625,0.4894,0.416,0.3851,0.3366,5.0,3.1829,0.2557,0.2695,0.2894,0.3397,1.1587,1.425,3.6377,4.4719,0.5882,0.4737,0.601355529387285,0.45329262491295363,0.5711,0.5711,0.4626,0.8745,0.7525999999999999,0.295645,0.27382,11.578435330000001,22.359499999999997,0.03525280377777778,0.04681045833333333,0.5862277646936425,0.4579463124564768,6.1823,4.198,5.9296999999999995,6.9798,lose
0.2874,0.2877,0.4769,0.4533,0.367,0.3651,4.4706,5.2927,0.2592,0.2602,0.3237,0.3106,1.2965,1.2447,3.918,4.0213,0.7368,0.6,0.4780817518615946,0.6002328629379146,0.4516,0.4516,0.5476,0.8439,0.8184,0.284375,0.28352,20.7367986,17.977623780000002,0.04084263111111111,0.03932906249999999,0.46484087593079726,0.5739164314689573,5.6019000000000005,6.3988,6.534199999999999,6.4368,win
0.2619,0.3015,0.4114,0.4971,0.3466,0.3831,3.0,5.5172,0.2599,0.298,0.3786,0.3795,1.6448,1.766,4.9345,6.1277,0.65,0.8182,0.4394926912184285,0.5739999531443587,0.4577,0.4577,0.5674,0.758,0.8802,0.25882000000000005,0.27524499999999996,27.2246234,18.3831,0.05030255288888888,0.050786235555555566,0.44859634560921424,0.5706999765721794,4.0199,6.6989,7.867800000000001,9.389400000000002,win
0.2771,0.31,0.4116,0.4597,0.3595,0.3886,3.8193,4.1098,0.2271,0.2614,0.3516,0.3279,1.3607,1.3039,3.8361,3.1765,0.7895,0.7647,0.5023704538646212,0.5339285228286853,0.5021,0.5021,0.507,0.7711,0.8483,0.264675,0.27777,15.76560378,12.13200645,0.04199573766666667,0.03834552583333333,0.5022352269323106,0.5204642614143427,4.8675,5.2681000000000004,6.565,5.8344000000000005,lose
0.302,0.2668,0.4751,0.4258,0.3788,0.3429,5.0952,3.3133,0.244,0.3448,0.3106,0.4865,1.2725,2.2857,3.1096,9.6429,0.7778,0.8,0.6000320731565669,0.4546290927112131,0.5699,0.5699,0.464,0.8539000000000001,0.7686999999999999,0.289235,0.27308,10.30303768,49.13250408,0.03861047777777778,0.07345604883333333,0.5849660365782834,0.45931454635560653,6.2511,4.3488,5.7145,13.559899999999999,win
0.283,0.2666,0.4231,0.3887,0.368,0.3523,2.977,3.1059,0.306,0.2716,0.3902,0.3757,1.7647,1.6032,7.4647,4.5911,0.5625,0.75,0.33660285301542164,0.476550532988204,0.4005,0.4005,0.4739,0.7910999999999999,0.741,0.271375,0.26431,23.18461173,13.6677047,0.051825317444444435,0.04834093333333333,0.36855142650771083,0.475225266494102,4.0511,4.1135,10.4881,7.5916,win
0.2874,0.2899,0.4728,0.4479,0.3685,0.3679,4.2326,4.1084,0.2554,0.2304,0.3109,0.2922,1.3011,1.1003,4.3548,3.0946,0.7647,0.8333,0.4791452972060949,0.5988586582983465,0.4529,0.4529,0.5464,0.8412999999999999,0.8158000000000001,0.28402499999999997,0.283755,17.891260319999997,13.098203959999998,0.041021514499999995,0.03472363416666666,0.46602264860304743,0.5726293291491733,5.3613,5.2141,6.9869,5.5508,lose
0.2795,0.3148,0.4209,0.4749,0.3586,0.3921,3.5119,3.7952,0.2684,0.2505,0.3184,0.294,1.3673,1.2017,4.3163,3.2818,0.6875,0.6667,0.4941869689723533,0.5404247514999695,0.5011,0.5011,0.5137,0.7795,0.867,0.26659499999999997,0.28167000000000003,16.38122176,11.52535342,0.04279193233333334,0.03559635683333333,0.4976434844861767,0.5270623757499848,4.5709,4.977,6.9579,5.6947,win
0.3074,0.2781,0.4853,0.455,0.3835,0.3458,5.1294,3.1786,0.24,0.2125,0.3149,0.3077,1.2973,1.2143,4.9257,1.7679,0.6471,0.8889,0.6013361051427655,0.45147323768645636,0.5708,0.5708,0.4615,0.8688,0.8008,0.2939,0.276935,15.65683002,9.068266260000001,0.03991864172222222,0.03965364111111111,0.5860680525713827,0.45648661884322816,6.3056,4.2575,7.425,4.391299999999999,lose
